# Iteration Pressure Kinetic Potential Temperature Total
0 -0.20963354 1.0968899 -4.7684785 0.73125993 -3.6715886
1 -0.23618683 1.1023479 -4.7739417 0.7348986 -3.6715938
2 -0.24429579 1.1019931 -4.7735904 0.73466207 -3.6715973
3 -0.21646053 1.0911294 -4.7627263 0.7274196 -3.6715969
4 -0.16193983 1.0714593 -4.7430507 0.7143062 -3.6715915
5 -0.099358138 1.0492763 -4.7208657 0.69951753 -3.6715895
6 -0.049187061 1.0304481 -4.7020373 0.6869654 -3.6715892
7 -0.01741533 1.0179879 -4.6895767 0.6786586 -3.6715888
8 -0.010607697 1.0118453 -4.6834358 0.67456353 -3.6715906
9 -0.017192132 1.0098665 -4.6814582 0.67324433 -3.6715917
10 -0.031669689 1.0095994 -4.6811936 0.67306627 -3.6715942
11 -0.045718017 1.0090914 -4.6806868 0.6727276 -3.6715954
12 -0.056284136 1.0072115 -4.6788076 0.67147433 -3.6715961
13 -0.064113769 1.0050339 -4.676626 0.6700226 -3.6715921
14 -0.07925882 1.0060918 -4.6776819 0.67072787 -3.6715901
15 -0.10113966 1.0123125 -4.6839062 0.674875 -3.6715937
16 -0.11708131 1.0196898 -4.69129 0.6797932 -3.6716002
17 -0.09994937 1.0191129 -4.6907203 0.6794086 -3.6716073
18 -0.021042173 1.0014084 -4.6730174 0.6676056 -3.671609
19 0.11895273 0.96488963 -4.6364919 0.64325975 -3.6716022
20 0.28183911 0.92060402 -4.5921932 0.61373601 -3.6715892
21 0.40541069 0.88891556 -4.5604928 0.59261037 -3.6715772
22 0.43494206 0.88677843 -4.5583569 0.59118562 -3.6715784
23 0.37141376 0.91372361 -4.5853136 0.60914907 -3.67159
24 0.26253573 0.95337685 -4.6249773 0.63558457 -3.6716005
25 0.15789973 0.98933065 -4.6609364 0.65955377 -3.6716057
26 0.08025374 1.0141707 -4.6857736 0.6761138 -3.6716029
27 0.036233162 1.028354 -4.6999531 0.68556933 -3.6715991
28 0.016154696 1.0354332 -4.7070325 0.6902888 -3.6715994
29 0.016990069 1.0363881 -4.7079891 0.6909254 -3.6716009
30 0.043433124 1.0290764 -4.7006784 0.68605093 -3.671602
31 0.086801658 1.0142787 -4.6858769 0.6761858 -3.6715981
32 0.13132667 0.99865639 -4.6702484 0.66577093 -3.671592
33 0.14930673 0.98929 -4.6608801 0.65952667 -3.6715901
34 0.13401953 0.98826046 -4.6598518 0.65884031 -3.6715912
35 0.091834506 0.9945263 -4.6661176 0.66301753 -3.6715913
36 0.02448568 1.0074439 -4.679036 0.67162927 -3.6715921
37 -0.05940094 1.0245394 -4.6961344 0.68302627 -3.671595
38 -0.13541768 1.0391246 -4.7107236 0.69274973 -3.671599
39 -0.18366418 1.0454724 -4.7170703 0.6969816 -3.6715979
40 -0.20765817 1.0441052 -4.715702 0.69607013 -3.6715969
41 -0.20971256 1.0370972 -4.7086933 0.69139813 -3.6715961
42 -0.19262722 1.0249861 -4.6965806 0.68332407 -3.6715945
43 -0.1735955 1.0114427 -4.6830311 0.67429513 -3.6715884
44 -0.17121507 1.00334 -4.6749238 0.66889333 -3.6715838
45 -0.20517323 1.006094 -4.6776778 0.67072933 -3.6715838
46 -0.27700994 1.0198658 -4.6914525 0.67991053 -3.6715867
47 -0.36724554 1.0390483 -4.7106411 0.69269887 -3.6715928
48 -0.44554237 1.0558028 -4.7273995 0.70386853 -3.6715968
49 -0.49891541 1.0650922 -4.7366879 0.71006147 -3.6715956
50 -0.52123038 1.0669484 -4.7385422 0.71129893 -3.6715938
51 -0.51827921 1.063467 -4.7350609 0.708978 -3.6715939
52 -0.4918672 1.0551354 -4.7267304 0.7034236 -3.6715949
53 -0.44654122 1.0434057 -4.7149994 0.6956038 -3.6715935
54 -0.39563215 1.0321781 -4.7037705 0.68811873 -3.6715923
55 -0.35376966 1.0258699 -4.697462 0.68391327 -3.6715922
56 -0.3249111 1.0244545 -4.6960529 0.68296967 -3.6715983
57 -0.28545849 1.0201312 -4.6917319 0.68008747 -3.6716007
58 -0.2255015 1.0082449 -4.679844 0.67216327 -3.6715991
59 -0.16128751 0.9924662 -4.664062 0.66164413 -3.6715958
60 -0.11068912 0.97945435 -4.6510449 0.65296957 -3.6715906
61 -0.092409513 0.97420602 -4.6457966 0.64947068 -3.6715905
62 -0.11319921 0.97793389 -4.6495256 0.65195593 -3.6715917
63 -0.15980768 0.98855296 -4.6601456 0.65903531 -3.6715926
64 -0.230296 1.0030069 -4.674599 0.66867127 -3.671592
65 -0.31209075 1.0200279 -4.6916178 0.6800186 -3.6715899
66 -0.4122299 1.0408702 -4.7124569 0.69391347 -3.6715867
67 -0.5321924 1.0675556 -4.7391413 0.71170373 -3.6715856
68 -0.66365528 1.0991438 -4.7707333 0.73276253 -3.6715894
69 -0.78826217 1.1300144 -4.8016082 0.75334293 -3.6715939
70 -0.88471109 1.153219 -4.8248167 0.76881267 -3.6715977
71 -0.93464671 1.1639953 -4.8355932 0.77599687 -3.671598
72 -0.93276077 1.1610796 -4.8326751 0.77405307 -3.6715955
73 -0.8873707 1.1474681 -4.8190592 0.76497873 -3.671591
74 -0.81931931 1.1292642 -4.8008517 0.7528428 -3.6715875
75 -0.74157058 1.1108087 -4.7823989 0.74053913 -3.6715902
76 -0.65285222 1.0912624 -4.7628547 0.72750827 -3.6715924
77 -0.5448149 1.067542 -4.7391346 0.71169467 -3.6715926
78 -0.42102326 1.0395641 -4.7111541 0.69304273 -3.67159
79 -0.29378689 1.0119806 -4.6835674 0.67465373 -3.6715868
80 -0.18735728 0.99156139 -4.6631468 0.66104093 -3.6715854
81 -0.11359853 0.98215861 -4.6537456 0.65477241 -3.671587
82 -0.068376003 0.98123639 -4.6528274 0.65415759 -3.671591
83 -0.032928927 0.98269343 -4.6542869 0.65512895 -3.6715935
84 0.00064012323 0.98336509 -4.6549558 0.65557673 -3.6715907
85 0.033437394 0.9837112 -4.6553012 0.65580747 -3.67159
86 0.066337265 0.98296778 -4.6545594 0.65531185 -3.6715916
87 0.1059989 0.97825546 -4.6498468 0.65217031 -3.6715913
88 0.15858014 0.96804704 -4.6396362 0.64536469 -3.6715892
89 0.21871564 0.95409519 -4.6256831 0.63606346 -3.6715881
90 0.270585 0.94000139 -4.6115866 0.62666759 -3.6715852
91 0.3037904 0.92977815 -4.6013596 0.6198521 -3.6715815
