# r rdf(r)
0.911966 0.015498009999999984
0.935898 0.09565155999999977
0.959829 0.4036665300000001
0.983761 0.9081319100000006
1.007693 1.4933720100000003
1.031624 1.9829168199999998
1.055556 2.255435689999999
1.079488 2.3376221050000003
1.103419 2.257323
1.127351 2.096394794999999
1.151283 1.93451112
1.175214 1.7445353350000006
1.199146 1.6053822400000015
1.223078 1.5107824749999994
1.247009 1.3772162399999999
1.270941 1.2778133849999997
1.294873 1.2345775199999998
1.318805 1.1513387199999996
1.342736 1.0831265399999992
1.366668 1.0209889599999997
1.390600 0.9738066349999994
1.414531 0.9157252149999998
1.438463 0.9040826749999995
1.462395 0.8731727450000011
1.486326 0.8627856349999996
1.510258 0.815251755
1.534190 0.803403265
1.558121 0.7863863250000002
1.582053 0.7803236399999998
1.605985 0.7664962050000003
1.629916 0.7841373900000004
1.653848 0.7973894250000005
1.677780 0.7939687749999995
1.701712 0.7975127099999993
1.725643 0.8032814249999994
1.749575 0.8193558850000006
1.773507 0.8327580750000004
1.797438 0.8794430949999996
1.821370 0.871451265
1.845302 0.9050052550000004
1.869233 0.9263186050000001
1.893165 0.965253220000001
1.917097 0.9852103400000001
1.941028 1.0208755300000005
1.964960 1.0416623649999996
1.988892 1.0871676150000003
2.012823 1.0954064950000006
2.036755 1.0994501850000005
2.060687 1.1303874250000003
2.084619 1.13666163
2.108550 1.1344686999999998
2.132482 1.13424008
2.156414 1.1235778699999963
2.180345 1.11094884
2.204277 1.128568435
2.228209 1.1043122400000005
2.252140 1.0988514799999998
2.276072 1.065820565
2.300004 1.048449185000001
2.323935 1.0514973600000004
2.347867 1.0360602050000005
2.371799 1.0133909500000005
2.395730 1.0036019049999994
2.419662 0.9962423850000006
2.443594 0.9841801400000002
2.467526 0.9676130650000004
2.491457 0.9716869249999994
2.515389 0.963132265
2.539321 0.9692375349999999
2.563252 0.95129632
2.587184 0.9572444100000006
2.611116 0.9515069300000006
2.635047 0.9576451450000001
2.658979 0.9590876750000004
2.682911 0.9553852950000002
2.706842 0.9524778399999994
2.730774 0.96354558
2.754706 0.9672292900000007
2.778637 0.9706434200000008
2.802569 0.98580512
2.826501 0.9779967
2.850433 0.9865866650000011
2.874364 0.9974430349999999
2.898296 0.9911839300000002
2.922228 1.0037798899999997
2.946159 1.0200451449999992
2.970091 1.0188538250000003
2.994023 1.0273695799999998
3.017954 1.018138245
3.041886 1.0260695099999988
3.065818 1.0382016499999995
3.089749 1.0334582050000005
3.113681 1.0253149450000003
3.137613 1.0330112649999992
3.161544 1.0300172850000007
3.185476 1.0261257499999998
3.209408 1.0289792449999997
3.233340 1.0239185949999996
3.257271 1.0260270800000004
3.281203 1.0143963450000006
