# r rdf(r)
0.911966 0.003461415
0.935898 0.021911094999999995
0.959829 0.08124518999999995
0.983761 0.2062416149999999
1.007693 0.4025749350000007
1.031624 0.626665535000001
1.055556 0.8242223950000005
1.079488 0.9717228949999998
1.103419 1.0175167750000005
1.127351 1.0246104149999986
1.151283 1.0939523999999994
1.175214 1.0915422649999997
1.199146 1.10246551
1.223078 1.1341584749999982
1.247009 1.1144958800000009
1.270941 1.1899557
1.294873 1.1171893000000013
1.318805 1.1514981150000005
1.342736 1.1384958149999995
1.366668 1.1154145049999986
1.390600 1.106632725
1.414531 1.0632705849999997
1.438463 1.0439548299999994
1.462395 1.064361979999999
1.486326 1.0416576100000001
1.510258 1.042565690000001
1.534190 1.0127405599999992
1.558121 1.0712029000000007
1.582053 1.0355897400000005
1.605985 1.0481164999999986
1.629916 1.0226215400000007
1.653848 1.0406049599999985
1.677780 1.0036309749999992
1.701712 1.0455237199999992
1.725643 1.0611977549999998
1.749575 1.0430245
1.773507 1.0657122250000004
1.797438 1.0957408899999999
1.821370 1.081020675000001
1.845302 1.1123459050000002
1.869233 1.128539484999999
1.893165 1.148383439999998
1.917097 1.1514855200000018
1.941028 1.1311627350000002
1.964960 1.1485151400000002
1.988892 1.2006141900000002
2.012823 1.223633885
2.036755 1.2403884999999997
2.060687 1.1877910800000033
2.084619 1.1860710950000004
2.108550 1.1465660550000005
2.132482 1.142923
2.156414 1.1086156549999993
2.180345 1.1011676049999999
2.204277 1.0594141400000001
2.228209 1.0309811499999975
2.252140 1.0063489
2.276072 0.9845569200000001
2.300004 0.9752407150000001
2.323935 0.9598783650000005
2.347867 0.93083555
2.371799 0.9327873699999996
2.395730 0.9192609449999996
2.419662 0.8970693549999996
2.443594 0.8940486150000001
2.467526 0.8819917700000002
2.491457 0.9006869099999999
2.515389 0.9048641449999996
2.539321 0.8984554
2.563252 0.8789818100000002
2.587184 0.88817218
2.611116 0.9002575050000003
2.635047 0.8819064349999992
2.658979 0.8867342300000003
2.682911 0.9051156499999995
2.706842 0.9169483500000003
2.730774 0.9401969999999998
2.754706 0.9260819799999999
2.778637 0.9418933549999998
2.802569 0.952389005000001
2.826501 0.9847379050000002
2.850433 0.9794926100000005
2.874364 0.98682917
2.898296 0.9949332249999995
2.922228 1.0071357949999995
2.946159 1.0206916949999993
2.970091 1.0353132500000004
2.994023 1.0338161650000006
3.017954 1.038979355
3.041886 1.0426081799999998
3.065818 1.0601890699999998
3.089749 1.0562943299999996
3.113681 1.0695176050000008
3.137613 1.0753925350000004
3.161544 1.0868242400000008
3.185476 1.078594255
3.209408 1.0697425499999984
3.233340 1.0681936299999992
3.257271 1.0812273799999994
3.281203 1.0618583850000003
