# r rdf(r)
0.920500 0.00611555
0.961500 0.0938869
1.002500 0.32741545
1.043500 0.7174158875
1.084500 0.92856265
1.125500 1.1352158
1.166500 1.1320409125
1.207500 1.1000162875
1.248500 1.1029333
1.289500 1.1188442
1.330500 1.126338625
1.371500 1.0675843875
1.412500 1.0753442625
1.453500 1.059077925
1.494500 1.077757575
1.535500 1.0825182375
1.576500 1.0524909
1.617500 1.05032405
1.658500 1.0433142625
1.699500 1.0204986625
1.740500 1.043556775
1.781500 1.0732335125
1.822500 1.092192275
1.863500 1.1032385875
1.904500 1.1659123625
1.945500 1.16624025
1.986500 1.193455775
2.027500 1.1626971875
2.068500 1.183075875
2.109500 1.148308675
2.150500 1.13183675
2.191500 1.071809
2.232500 1.0034289875
2.273500 0.975335475
2.314500 0.9727712125
2.355500 0.951112075
2.396500 0.9105004375
2.437500 0.9017174875
2.478500 0.8818340875
2.519500 0.904394575
2.560500 0.8863353
2.601500 0.9001614625
2.642500 0.9078852875
2.683500 0.8972680375
2.724500 0.9294633625
2.765500 0.945816375
2.806500 0.9795766
2.847500 0.9584422
2.888500 0.9974252375
2.929500 1.0231466
2.970500 1.0244651125
3.011500 1.0593346625
3.052500 1.0458085
3.093500 1.0610545625
3.134500 1.0667104625
3.175500 1.0699235375
3.216500 1.0678684375
3.257500 1.0774208375
3.298500 1.0653315125
3.339500 1.0476985375
3.380500 1.04137325
3.421500 0.9902244125
3.462500 0.9487567125
3.503500 0.903775325
3.544500 0.8636000125
3.585500 0.84466815
3.626500 0.7773049875
3.667500 0.769848325
3.708500 0.714200175
3.749500 0.69433495
3.790500 0.655859525
3.831500 0.6358086
3.872500 0.6153321
3.913500 0.5777193875
3.954500 0.5522143
3.995500 0.533391325
4.036500 0.5165673375
4.077500 0.4770074875
4.118500 0.4684743
4.159500 0.432099925
4.200500 0.4048340375
4.241500 0.39481275
4.282500 0.3686382625
4.323500 0.3469853375
4.364500 0.3315865875
4.405500 0.3097554375
4.446500 0.2806089125
4.487500 0.26669025
4.528500 0.2467196875
4.569500 0.2254961875
4.610500 0.201449975
4.651500 0.1826440375
4.692500 0.1616962875
4.733500 0.1445662625
4.774500 0.126292925
4.815500 0.1045959625
4.856500 0.096684625
4.897500 0.0854574
4.938500 0.07235665
4.979500 0.06563125
