# #position calculated_density calculated_velocity calculated_pressure_xz
-2.450000000000000000e+01 9.546423512403767048e-03 2.970927429192662473e-05 -4.469724034417065991e-03
-2.350000000000000000e+01 6.654554469845597349e-03 8.060151965827555402e-05 -3.673063606511749526e-03
-2.250000000000000000e+01 4.926392923053270895e-03 1.230079926847125441e-04 -3.100771941976950431e-03
-2.150000000000000000e+01 3.812489282629178810e-03 1.591570739186120025e-04 -2.667598079057996452e-03
-2.050000000000000000e+01 3.053255604494300481e-03 1.904758130762674282e-04 -2.326578509660113744e-03
-1.950000000000000000e+01 2.513101357201447464e-03 2.179327620453198043e-04 -2.049705903748779128e-03
-1.850000000000000000e+01 2.115599168121885896e-03 2.422149745962024966e-04 -1.819235532924079425e-03
-1.750000000000000000e+01 1.815012380632277178e-03 2.638269901840694948e-04 -1.623373664045887291e-03
-1.650000000000000000e+01 1.582616008049678993e-03 2.831497376235633670e-04 -1.453970710696229907e-03
-1.550000000000000000e+01 1.399637000519001525e-03 3.004773768801313814e-04 -1.305209779228711604e-03
-1.450000000000000000e+01 1.253391087251003698e-03 3.160413013115107679e-04 -1.172823062061634398e-03
-1.350000000000000000e+01 1.135063121469833064e-03 3.300263155892621623e-04 -1.053603722318455444e-03
-1.250000000000000000e+01 1.038377955154864106e-03 3.425818571070763448e-04 -9.450908795795395128e-04
-1.150000000000000000e+01 9.587758850116100389e-04 3.538299716343307221e-04 -8.453599917459676382e-04
-1.050000000000000000e+01 8.928852158387026510e-04 3.638711013110818514e-04 -7.528795763957340115e-04
-9.500000000000000000e+00 8.381757681712463702e-04 3.727883601403317098e-04 -6.664109079778694159e-04
-8.500000000000000000e+00 7.927259066115358282e-04 3.806507396099005690e-04 -5.849362622538544680e-04
-7.500000000000000000e+00 7.550627105956793329e-04 3.875155415529717975e-04 -5.076065415649927935e-04
-6.500000000000000000e+00 7.240504280180673404e-04 3.934302417876078448e-04 -4.337023070264410573e-04
-5.500000000000000000e+00 6.988115297652040640e-04 3.984339264172970002e-04 -3.626042319556628340e-04
-4.500000000000000000e+00 6.786702618257023194e-04 4.025584011055904909e-04 -2.937702576853443636e-04
-3.500000000000000000e+00 6.631120702544728018e-04 4.058290449894713160e-04 -2.267175560434547474e-04
-2.500000000000000000e+00 6.517544975742190719e-04 4.082654607072854673e-04 -1.610079460613062386e-04
-1.500000000000000000e+00 6.443266068415306634e-04 4.098819574417673765e-04 -9.623577478675919398e-05
-5.000000000000000000e-01 6.406549733943623422e-04 4.106878930539414733e-04 -3.201751419261993526e-05
5.000000000000000000e-01 6.406549733943623422e-04 4.106878930539414733e-04 3.201751419261993526e-05
1.500000000000000000e+00 6.443266068415306634e-04 4.098819574417673765e-04 9.623577478675919398e-05
2.500000000000000000e+00 6.517544975742190719e-04 4.082654607072854673e-04 1.610079460613062386e-04
3.500000000000000000e+00 6.631120702544728018e-04 4.058290449894713160e-04 2.267175560434547474e-04
4.500000000000000000e+00 6.786702618257023194e-04 4.025584011055904909e-04 2.937702576853443636e-04
5.500000000000000000e+00 6.988115297652040640e-04 3.984339264172970002e-04 3.626042319556628340e-04
6.500000000000000000e+00 7.240504280180673404e-04 3.934302417876078448e-04 4.337023070264410573e-04
7.500000000000000000e+00 7.550627105956793329e-04 3.875155415529717975e-04 5.076065415649927935e-04
8.500000000000000000e+00 7.927259066115358282e-04 3.806507396099005690e-04 5.849362622538544680e-04
9.500000000000000000e+00 8.381757681712463702e-04 3.727883601403317098e-04 6.664109079778694159e-04
1.050000000000000000e+01 8.928852158387026510e-04 3.638711013110818514e-04 7.528795763957340115e-04
1.150000000000000000e+01 9.587758850116100389e-04 3.538299716343307221e-04 8.453599917459676382e-04
1.250000000000000000e+01 1.038377955154864106e-03 3.425818571070763448e-04 9.450908795795395128e-04
1.350000000000000000e+01 1.135063121469833064e-03 3.300263155892621623e-04 1.053603722318455444e-03
1.450000000000000000e+01 1.253391087251003698e-03 3.160413013115107679e-04 1.172823062061634398e-03
1.550000000000000000e+01 1.399637000519001525e-03 3.004773768801313814e-04 1.305209779228711604e-03
1.650000000000000000e+01 1.582616008049678993e-03 2.831497376235633670e-04 1.453970710696229907e-03
1.750000000000000000e+01 1.815012380632277178e-03 2.638269901840694948e-04 1.623373664045887291e-03
1.850000000000000000e+01 2.115599168121885896e-03 2.422149745962024966e-04 1.819235532924079425e-03
1.950000000000000000e+01 2.513101357201447464e-03 2.179327620453198043e-04 2.049705903748779128e-03
2.050000000000000000e+01 3.053255604494300481e-03 1.904758130762674282e-04 2.326578509660113744e-03
2.150000000000000000e+01 3.812489282629178810e-03 1.591570739186120025e-04 2.667598079057996452e-03
2.250000000000000000e+01 4.926392923053270895e-03 1.230079926847125441e-04 3.100771941976950431e-03
2.350000000000000000e+01 6.654554469845597349e-03 8.060151965827555402e-05 3.673063606511749526e-03
2.450000000000000000e+01 9.546423512403767048e-03 2.970927429192662473e-05 4.469724034417065991e-03
