# #position calculated_density calculated_velocity calculated_pressure_xz
-2.450000000000000000e+01 1.057432498782873154e-02 2.727471655816771090e-05 -4.457647912204265594e-03
-2.350000000000000000e+01 6.572273094207048416e-03 7.801070751156657934e-05 -3.715911647304892540e-03
-2.250000000000000000e+01 4.946508910506963730e-03 1.212687639053910971e-04 -3.131454577669501305e-03
-2.150000000000000000e+01 3.844045568257570267e-03 1.583462581038475037e-04 -2.694112714380025864e-03
-2.050000000000000000e+01 2.790166763588786125e-03 1.905364624690264463e-04 -2.345074666664004326e-03
-1.950000000000000000e+01 2.621734747663140297e-03 2.181362069677561522e-04 -2.063572639599442482e-03
-1.850000000000000000e+01 2.027737209573388100e-03 2.427439030725508928e-04 -1.832314184866845608e-03
-1.750000000000000000e+01 1.934543135575950146e-03 2.646399370860308409e-04 -1.636668574064970016e-03
-1.650000000000000000e+01 1.550706685520708561e-03 2.842404355760663748e-04 -1.467370428144931793e-03
-1.550000000000000000e+01 1.397618674673140049e-03 3.016966802533715963e-04 -1.316965674050152302e-03
-1.450000000000000000e+01 1.224685576744377613e-03 3.174172597937285900e-04 -1.185423461720347404e-03
-1.350000000000000000e+01 1.175900106318295002e-03 3.316679503768682480e-04 -1.063712523318827152e-03
-1.250000000000000000e+01 1.087735756300389767e-03 3.443523601163178682e-04 -9.529963135719299316e-04
-1.150000000000000000e+01 9.559265454299747944e-04 3.557129530236124992e-04 -8.523970609530806541e-04
-1.050000000000000000e+01 9.470041841268539429e-04 3.658506029751151800e-04 -7.598804077133536339e-04
-9.500000000000000000e+00 8.209088700823485851e-04 3.748814633581787348e-04 -6.720890523865818977e-04
-8.500000000000000000e+00 7.888932013884186745e-04 3.828498884104192257e-04 -5.906258011236786842e-04
-7.500000000000000000e+00 7.307919440791010857e-04 3.897918213624507189e-04 -5.121745052747428417e-04
-6.500000000000000000e+00 7.426494848914444447e-04 3.957272274419665337e-04 -4.379991733003407717e-04
-5.500000000000000000e+00 7.310825167223811150e-04 4.007832030765712261e-04 -3.665398107841610909e-04
-4.500000000000000000e+00 6.895039696246385574e-04 4.049849230796098709e-04 -2.964879968203604221e-04
-3.500000000000000000e+00 6.421334110200405121e-04 4.083049134351313114e-04 -2.295522572239860892e-04
-2.500000000000000000e+00 6.811605417169630527e-04 4.107863351237028837e-04 -1.636853121453896165e-04
-1.500000000000000000e+00 6.616309983655810356e-04 4.124254628550261259e-04 -9.790401236386969686e-05
-5.000000000000000000e-01 6.623418303206562996e-04 4.132312315050512552e-04 -3.346376615809276700e-05
5.000000000000000000e-01 6.468933424912393093e-04 4.132370231673121452e-04 3.085029675276018679e-05
1.500000000000000000e+00 6.964647909626364708e-04 4.124684201087802649e-04 9.523188782623037696e-05
2.500000000000000000e+00 6.817128742113709450e-04 4.108733555767685175e-04 1.612651103641837835e-04
3.500000000000000000e+00 6.677392520941793919e-04 4.084288957528769970e-04 2.274347352795302868e-04
4.500000000000000000e+00 7.204164867289364338e-04 4.051275318488478661e-04 2.944509033113718033e-04
5.500000000000000000e+00 7.137368083931505680e-04 4.009660915471613407e-04 3.648750134743750095e-04
6.500000000000000000e+00 6.978700403124094009e-04 3.959115128964185715e-04 4.364127235021442175e-04
7.500000000000000000e+00 7.459141197614371777e-04 3.899438015650957823e-04 5.099890404380857944e-04
8.500000000000000000e+00 7.707126205787062645e-04 3.830784116871654987e-04 5.881272954866290092e-04
9.500000000000000000e+00 8.266118238680064678e-04 3.751578624360263348e-04 6.706673302687704563e-04
1.050000000000000000e+01 9.008039487525820732e-04 3.661441151052713394e-04 7.580352248623967171e-04
1.150000000000000000e+01 9.858642006292939186e-04 3.560268960427492857e-04 8.512846543453633785e-04
1.250000000000000000e+01 1.002445816993713379e-03 3.447001508902758360e-04 9.509309311397373676e-04
1.350000000000000000e+01 1.121954875998198986e-03 3.320591640658676624e-04 1.059824135154485703e-03
1.450000000000000000e+01 1.358999405056238174e-03 3.179386549163609743e-04 1.180766383185982704e-03
1.550000000000000000e+01 1.409722608514130116e-03 3.021133888978511095e-04 1.316318172030150890e-03
1.650000000000000000e+01 1.568391569890081882e-03 2.845777198672294617e-04 1.467634807340800762e-03
1.750000000000000000e+01 1.899197697639465332e-03 2.647712244652211666e-04 1.640242408029735088e-03
1.850000000000000000e+01 2.083586296066641808e-03 2.429564046906307340e-04 1.832463196478784084e-03
1.950000000000000000e+01 2.500744536519050598e-03 2.185871853725984693e-04 2.063777297735214233e-03
2.050000000000000000e+01 2.719756215810775757e-03 1.908838894451037049e-04 2.344710752367973328e-03
2.150000000000000000e+01 3.658492350950837135e-03 1.587747829034924507e-04 2.689095446839928627e-03
2.250000000000000000e+01 4.743902012705802917e-03 1.217002645717002451e-04 3.153129247948527336e-03
2.350000000000000000e+01 6.603574845939874649e-03 7.734677637927234173e-05 3.725376212969422340e-03
2.450000000000000000e+01 9.651917964220046997e-03 2.693881287996191531e-05 4.455735441297292709e-03
