"rs","rdf"
0.00,0.0000
2.28,0.0000
2.31,0.0003
2.34,0.0022
2.37,0.0104
2.40,0.0365
2.43,0.0987
2.46,0.2094
2.49,0.3723
2.52,0.5807
2.55,0.8266
2.58,1.0999
2.61,1.3902
2.64,1.6822
2.67,1.9529
2.70,2.1836
2.73,2.3569
2.76,2.4604
2.79,2.4953
2.82,2.4648
2.85,2.3819
2.88,2.2566
2.91,2.1053
2.94,1.9377
2.97,1.7687
3.00,1.6025
3.03,1.4504
3.06,1.3117
3.09,1.1917
3.12,1.0903
3.15,1.0083
3.18,0.9433
3.21,0.8940
3.24,0.8577
3.27,0.8326
3.30,0.8164
3.33,0.8062
3.36,0.8023
3.39,0.8005
3.42,0.8014
3.45,0.8033
3.48,0.8081
3.51,0.8123
3.54,0.8181
3.57,0.8250
3.60,0.8323
3.63,0.8408
3.66,0.8508
3.69,0.8617
3.72,0.8731
3.75,0.8851
3.78,0.8988
3.81,0.9129
3.84,0.9273
3.87,0.9416
3.90,0.9566
3.93,0.9708
3.96,0.9851
3.99,0.9992
4.02,1.0126
4.05,1.0252
4.08,1.0366
4.11,1.0482
4.14,1.0590
4.17,1.0685
4.20,1.0775
4.23,1.0855
4.26,1.0929
4.29,1.0995
4.32,1.1057
4.35,1.1104
4.38,1.1148
4.41,1.1183
4.44,1.1210
4.47,1.1234
4.50,1.1242
4.53,1.1246
4.56,1.1241
4.59,1.1223
4.62,1.1195
4.65,1.1166
4.68,1.1122
4.71,1.1066
4.74,1.1003
4.77,1.0936
4.80,1.0858
4.83,1.0772
4.86,1.0674
4.89,1.0575
4.92,1.0472
4.95,1.0360
4.98,1.0252
5.01,1.0142
5.04,1.0027
5.07,0.9916
5.10,0.9808
5.13,0.9702
5.16,0.9599
5.19,0.9495
5.22,0.9403
5.25,0.9317
5.28,0.9240
5.31,0.9165
5.34,0.9093
5.37,0.9033
5.40,0.8980
5.43,0.8932
5.46,0.8896
5.49,0.8868
5.52,0.8847
5.55,0.8837
5.58,0.8834
5.61,0.8841
5.64,0.8858
5.67,0.8881
5.70,0.8907
5.73,0.8946
5.76,0.8991
5.79,0.9041
5.82,0.9099
5.85,0.9160
5.88,0.9222
5.91,0.9294
5.94,0.9362
5.97,0.9437
6.00,0.9510
6.03,0.9582
6.06,0.9653
6.09,0.9722
6.12,0.9795
6.15,0.9862
6.18,0.9930
6.21,0.9999
6.24,1.0053
6.27,1.0114
6.30,1.0177
6.33,1.0226
6.36,1.0277
6.39,1.0326
6.42,1.0371
6.45,1.0411
6.48,1.0449
6.51,1.0483
6.54,1.0515
6.57,1.0539
6.60,1.0561
6.63,1.0578
6.66,1.0592
6.69,1.0605
6.72,1.0609
6.75,1.0611
6.78,1.0607
6.81,1.0603
6.84,1.0589
6.87,1.0579
6.90,1.0560
6.93,1.0542
6.96,1.0520
6.99,1.0497
7.02,1.0467
7.05,1.0441
7.08,1.0407
7.11,1.0376
7.14,1.0347
7.17,1.0310
7.20,1.0276
7.23,1.0243
7.26,1.0205
7.29,1.0171
7.32,1.0136
7.35,1.0102
7.38,1.0066
7.41,1.0036
7.44,1.0005
7.47,0.9976
7.50,0.9947
7.53,0.9919
7.56,0.9895
7.59,0.9870
7.62,0.9849
7.65,0.9832
7.68,0.9812
7.71,0.9801
7.74,0.9786
7.77,0.9775
7.80,0.9770
7.83,0.9763
7.86,0.9759
7.89,0.9758
7.92,0.9758
7.95,0.9761
7.98,0.9768
