#
#
#
# Time	total energy	kinetic energy	lennard jones energy	temperature
26.000000	-2.06391e+03	5.41082e+02	-2.60499e+03	7.21443e-01
27.000000	-2.06686e+03	5.28835e+02	-2.59570e+03	7.05114e-01
28.000000	-2.05935e+03	5.53120e+02	-2.61247e+03	7.37494e-01
29.000000	-2.08169e+03	5.13319e+02	-2.59501e+03	6.84425e-01
30.000000	-2.02526e+03	5.65433e+02	-2.59069e+03	7.53911e-01
31.000000	-2.05721e+03	4.97548e+02	-2.55475e+03	6.63398e-01
32.000000	-2.06929e+03	5.32301e+02	-2.60160e+03	7.09735e-01
33.000000	-2.02556e+03	5.32163e+02	-2.55772e+03	7.09550e-01
34.000000	-2.05835e+03	5.26894e+02	-2.58524e+03	7.02525e-01
35.000000	-2.04494e+03	5.50350e+02	-2.59529e+03	7.33801e-01
36.000000	-2.05182e+03	5.32737e+02	-2.58456e+03	7.10316e-01
37.000000	-2.07123e+03	5.25906e+02	-2.59714e+03	7.01209e-01
38.000000	-2.09386e+03	5.11214e+02	-2.60507e+03	6.81619e-01
39.000000	-2.04270e+03	5.45632e+02	-2.58833e+03	7.27509e-01
40.000000	-2.08044e+03	5.48127e+02	-2.62857e+03	7.30836e-01
41.000000	-2.07760e+03	5.40247e+02	-2.61785e+03	7.20330e-01
42.000000	-2.01128e+03	5.45732e+02	-2.55702e+03	7.27642e-01
43.000000	-2.03558e+03	5.61602e+02	-2.59718e+03	7.48803e-01
44.000000	-2.07493e+03	5.26617e+02	-2.60154e+03	7.02156e-01
45.000000	-2.03893e+03	5.48865e+02	-2.58780e+03	7.31820e-01
46.000000	-2.04680e+03	5.47978e+02	-2.59478e+03	7.30637e-01
47.000000	-2.07161e+03	5.46107e+02	-2.61771e+03	7.28142e-01
48.000000	-2.08817e+03	5.29795e+02	-2.61796e+03	7.06394e-01
49.000000	-2.06075e+03	5.53894e+02	-2.61465e+03	7.38525e-01
50.000000	-2.08519e+03	5.13714e+02	-2.59890e+03	6.84952e-01
51.000000	-2.05457e+03	5.41217e+02	-2.59578e+03	7.21622e-01
52.000000	-2.09900e+03	5.08240e+02	-2.60724e+03	6.77654e-01
53.000000	-2.04545e+03	5.42796e+02	-2.58824e+03	7.23728e-01
54.000000	-2.02849e+03	5.68005e+02	-2.59650e+03	7.57340e-01
55.000000	-2.03456e+03	5.65636e+02	-2.60020e+03	7.54182e-01
56.000000	-2.02901e+03	5.66746e+02	-2.59576e+03	7.55662e-01
57.000000	-2.11606e+03	4.91299e+02	-2.60736e+03	6.55065e-01
58.000000	-2.04037e+03	5.41746e+02	-2.58211e+03	7.22329e-01
59.000000	-2.03121e+03	5.65256e+02	-2.59646e+03	7.53675e-01
60.000000	-2.07776e+03	5.33100e+02	-2.61086e+03	7.10799e-01
61.000000	-2.02536e+03	5.74949e+02	-2.60030e+03	7.66599e-01
62.000000	-2.00312e+03	5.79234e+02	-2.58236e+03	7.72312e-01
63.000000	-2.04881e+03	5.43206e+02	-2.59201e+03	7.24275e-01
64.000000	-2.04365e+03	5.43902e+02	-2.58755e+03	7.25202e-01
65.000000	-2.03974e+03	5.51495e+02	-2.59123e+03	7.35327e-01
66.000000	-2.02533e+03	5.63983e+02	-2.58932e+03	7.51977e-01
67.000000	-2.05641e+03	5.61350e+02	-2.61776e+03	7.48466e-01
68.000000	-2.04508e+03	5.17532e+02	-2.56261e+03	6.90043e-01
69.000000	-2.06248e+03	5.34153e+02	-2.59663e+03	7.12204e-01
70.000000	-2.05361e+03	5.46242e+02	-2.59986e+03	7.28323e-01
71.000000	-2.06307e+03	5.48915e+02	-2.61198e+03	7.31887e-01
72.000000	-2.00863e+03	5.81470e+02	-2.59010e+03	7.75293e-01
73.000000	-2.00110e+03	5.52673e+02	-2.55377e+03	7.36898e-01
74.000000	-2.05581e+03	5.27048e+02	-2.58286e+03	7.02731e-01
75.000000	-2.02162e+03	5.70906e+02	-2.59253e+03	7.61208e-01
76.000000	-2.03367e+03	5.35216e+02	-2.56889e+03	7.13622e-01
77.000000	-2.00560e+03	5.53876e+02	-2.55948e+03	7.38501e-01
78.000000	-2.02709e+03	5.69211e+02	-2.59631e+03	7.58948e-01
79.000000	-2.02350e+03	5.54476e+02	-2.57797e+03	7.39301e-01
80.000000	-2.03123e+03	5.40392e+02	-2.57162e+03	7.20523e-01
81.000000	-1.99487e+03	5.94598e+02	-2.58947e+03	7.92797e-01
82.000000	-2.08199e+03	5.24374e+02	-2.60636e+03	6.99165e-01
83.000000	-2.02533e+03	5.68501e+02	-2.59384e+03	7.58002e-01
84.000000	-2.01153e+03	5.61804e+02	-2.57333e+03	7.49071e-01
85.000000	-2.02479e+03	5.63855e+02	-2.58864e+03	7.51807e-01
86.000000	-2.07466e+03	5.39731e+02	-2.61439e+03	7.19641e-01
87.000000	-2.06669e+03	5.34510e+02	-2.60120e+03	7.12680e-01
88.000000	-2.05048e+03	5.46342e+02	-2.59682e+03	7.28456e-01
89.000000	-2.06704e+03	5.33350e+02	-2.60039e+03	7.11134e-01
90.000000	-2.05144e+03	5.45910e+02	-2.59735e+03	7.27880e-01
91.000000	-2.03257e+03	5.61194e+02	-2.59377e+03	7.48259e-01
92.000000	-2.04672e+03	5.46204e+02	-2.59292e+03	7.28273e-01
93.000000	-2.07842e+03	5.41799e+02	-2.62022e+03	7.22399e-01
94.000000	-2.06732e+03	5.37591e+02	-2.60491e+03	7.16787e-01
95.000000	-2.10520e+03	5.35573e+02	-2.64078e+03	7.14097e-01
96.000000	-2.08951e+03	5.13477e+02	-2.60298e+03	6.84636e-01
97.000000	-2.09238e+03	5.35069e+02	-2.62745e+03	7.13425e-01
98.000000	-2.05409e+03	5.42233e+02	-2.59632e+03	7.22978e-01
99.000000	-2.08267e+03	5.25726e+02	-2.60840e+03	7.00968e-01
100.000000	-2.06161e+03	5.36198e+02	-2.59781e+03	7.14931e-01
101.000000	-2.09490e+03	4.91695e+02	-2.58660e+03	6.55593e-01
102.000000	-2.04688e+03	5.40380e+02	-2.58725e+03	7.20506e-01
103.000000	-2.05595e+03	5.09836e+02	-2.56578e+03	6.79782e-01
104.000000	-1.99182e+03	5.77115e+02	-2.56893e+03	7.69486e-01
105.000000	-1.99291e+03	5.93852e+02	-2.58676e+03	7.91803e-01
106.000000	-2.05808e+03	5.44913e+02	-2.60300e+03	7.26551e-01
107.000000	-2.05498e+03	5.38517e+02	-2.59350e+03	7.18023e-01
108.000000	-2.07701e+03	5.21346e+02	-2.59836e+03	6.95128e-01
109.000000	-2.03246e+03	5.25330e+02	-2.55779e+03	7.00440e-01
110.000000	-2.07666e+03	5.34030e+02	-2.61069e+03	7.12040e-01
111.000000	-2.03571e+03	5.58151e+02	-2.59386e+03	7.44201e-01
112.000000	-2.03218e+03	5.72979e+02	-2.60515e+03	7.63972e-01
113.000000	-2.05402e+03	5.49573e+02	-2.60359e+03	7.32764e-01
114.000000	-2.05409e+03	5.24468e+02	-2.57855e+03	6.99291e-01
115.000000	-2.04207e+03	5.58130e+02	-2.60020e+03	7.44173e-01
116.000000	-2.07561e+03	5.12845e+02	-2.58846e+03	6.83793e-01
117.000000	-2.02106e+03	5.61897e+02	-2.58296e+03	7.49195e-01
118.000000	-2.01221e+03	5.41257e+02	-2.55346e+03	7.21676e-01
119.000000	-2.02500e+03	5.69634e+02	-2.59464e+03	7.59512e-01
120.000000	-2.01399e+03	5.56490e+02	-2.57048e+03	7.41987e-01
121.000000	-2.04713e+03	5.06907e+02	-2.55404e+03	6.75876e-01
122.000000	-2.06788e+03	5.29983e+02	-2.59786e+03	7.06644e-01
123.000000	-2.06853e+03	5.24792e+02	-2.59332e+03	6.99722e-01
124.000000	-2.04226e+03	5.38796e+02	-2.58105e+03	7.18394e-01
125.000000	-2.03127e+03	5.55930e+02	-2.58721e+03	7.41241e-01
#mean_energy energy_error -2.04979e+03 2.62942e+00
