# r rdf(r)
0.920500 0.0107022125
0.961500 0.089683025
1.002500 0.369953575
1.043500 0.7400210375
1.084500 0.9120402
1.125500 1.0452167
1.166500 1.1168074375
1.207500 1.1160100125
1.248500 1.1295300625
1.289500 1.1141693625
1.330500 1.1263386125
1.371500 1.1585012125
1.412500 1.1130073
1.453500 1.06398395
1.494500 1.0203313125
1.535500 1.0374591375
1.576500 1.0504057625
1.617500 1.064189625
1.658500 1.0442563375
1.699500 1.002555825
1.740500 1.0957346
1.781500 1.074458225
1.822500 1.0656675625
1.863500 1.1017462375
1.904500 1.1380504625
1.945500 1.1556287625
1.986500 1.1790095125
2.027500 1.166164125
2.068500 1.17944215
2.109500 1.1797531875
2.150500 1.13743985
2.191500 1.0863767
2.232500 1.0216258
2.273500 0.99889795
2.314500 0.9459243875
2.355500 0.96138675
2.396500 0.911854025
2.437500 0.88776105
2.478500 0.8885833625
2.519500 0.8625527375
2.560500 0.8790233625
2.601500 0.8892492875
2.642500 0.8919281625
2.683500 0.8965483
2.724500 0.9453470875
2.765500 0.9586915125
2.806500 0.935985025
2.847500 0.9974318625
2.888500 1.026619625
2.929500 1.004274875
2.970500 1.0338625
3.011500 1.04690545
3.052500 1.0606870125
3.093500 1.067553275
3.134500 1.0647324625
3.175500 1.075191625
3.216500 1.073754375
3.257500 1.0635013125
3.298500 1.0524705
3.339500 1.047582375
3.380500 1.0417134125
3.421500 0.997750375
3.462500 0.946271125
3.503500 0.9221422125
3.544500 0.868756425
3.585500 0.83065915
3.626500 0.776024325
3.667500 0.7528947625
3.708500 0.721077425
3.749500 0.691385875
3.790500 0.6658692125
3.831500 0.6355438
3.872500 0.6089385625
3.913500 0.594977425
3.954500 0.5532913
3.995500 0.5342029125
4.036500 0.5075814125
4.077500 0.4750593375
4.118500 0.4663354375
4.159500 0.435769375
4.200500 0.41415995
4.241500 0.3909236625
4.282500 0.36743725
4.323500 0.3449059
4.364500 0.322200075
4.405500 0.3040142125
4.446500 0.2835579
4.487500 0.27010025
4.528500 0.2470355625
4.569500 0.2251239375
4.610500 0.1941356125
4.651500 0.1837219625
4.692500 0.1641675625
4.733500 0.1514476125
4.774500 0.1229395125
4.815500 0.1082278
4.856500 0.094981675
4.897500 0.083188675
4.938500 0.074216075
4.979500 0.063802325
