# #z rho_na(z) rho_cl(z)
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.535375177313364814e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.070750354626729628e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.606125531940094442e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.014150070925345926e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.267687588656682518e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.521225106388018888e+00 5.982055077303448647e-05 0.000000000000000000e+00
1.774762624119355259e+00 1.166500740074172520e-03 0.000000000000000000e+00
2.028300141850691851e+00 3.160519099175322123e-03 1.296111933415747275e-04
2.281837659582028444e+00 5.503490671119173026e-03 4.147558186930391279e-03
2.535375177313365036e+00 8.424727567202357909e-03 1.215354189872150728e-02
2.788912695044701184e+00 1.096710097505632260e-02 1.600199733178672701e-02
3.042450212776037777e+00 1.358923511727433420e-02 1.709870742929235979e-02
3.295987730507374369e+00 1.576271512869458630e-02 1.813559697602495566e-02
3.549525248238710518e+00 1.690927568517774926e-02 1.676969440004066891e-02
3.803062765970047110e+00 1.716849807186089996e-02 1.471585549016648370e-02
4.056600283701383702e+00 1.694915605235977271e-02 1.355932484188781748e-02
4.310137801432720295e+00 1.658026265592605838e-02 1.385842759575298989e-02
4.563675319164056887e+00 1.567298430253503613e-02 1.287138850799792074e-02
4.817212836895393480e+00 1.549352265021593233e-02 1.375872667779793300e-02
5.070750354626730072e+00 1.433699200193726611e-02 1.434696209373277111e-02
5.324287872358065776e+00 1.463609475580243853e-02 1.570289457792155285e-02
5.577825390089402369e+00 1.488534705069008250e-02 1.678963458363167890e-02
5.831362907820738961e+00 1.414756025782265732e-02 1.738784009136202374e-02
6.084900425552075554e+00 1.479561622453053060e-02 1.771685312061371462e-02
6.338437943283412146e+00 1.548355255842042734e-02 1.591226650562717337e-02
6.591975461014748738e+00 1.554337310919346078e-02 1.531406099789682854e-02
6.845512978746085331e+00 1.658026265592605838e-02 1.438684246091479456e-02
7.099050496477421035e+00 1.690927568517774926e-02 1.487537695889457577e-02
7.352588014208757627e+00 1.672981403285864546e-02 1.449651347066535818e-02
7.606125531940094220e+00 1.603190760717324373e-02 1.542373200764739216e-02
7.859663049671430812e+00 1.543370209944289889e-02 1.532403108969233527e-02
8.113200567402767405e+00 1.483549659171255405e-02 1.553340301739795579e-02
8.366738085134103997e+00 1.593220668921818683e-02 1.687936540979123254e-02
8.620275602865440590e+00 1.502492833582716285e-02 1.720837843904291994e-02
8.873813120596777182e+00 1.556331329278447251e-02 1.672981403285864546e-02
9.127350638328113774e+00 1.530409090610132354e-02 1.592223659742268010e-02
9.380888156059450367e+00 1.548355255842042734e-02 1.487537695889457577e-02
9.634425673790786959e+00 1.609172815794627717e-02 1.500498815223615112e-02
9.887963191522123552e+00 1.595214687280919683e-02 1.474576576555300216e-02
1.014150070925346014e+01 1.591226650562717337e-02 1.498504796864513940e-02
1.039503822698479496e+01 1.603190760717324373e-02 1.550349274201143907e-02
1.064857574471613155e+01 1.568295439433054286e-02 1.565304411894402614e-02
1.090211326244746814e+01 1.517447971275974819e-02 1.590229641383167011e-02
1.115565078017880474e+01 1.567298430253503613e-02 1.635095054462942787e-02
1.140918829791014133e+01 1.574277494510357631e-02 1.611166834153729063e-02
1.166272581564147792e+01 1.539382173226087544e-02 1.578265531228559976e-02
1.191626333337281451e+01 1.509471897839570302e-02 1.625124962667437098e-02
1.216980085110415111e+01 1.563310393535301268e-02 1.585244595485413993e-02
