# #position calculated_density calculated_velocity calculated_pressure_xz
-2.450000000000000000e+01 9.605254046618938446e-03 2.616733399918302894e-05 -4.433139692991971970e-03
-2.350000000000000000e+01 6.675516720861196518e-03 7.757417915854603052e-05 -3.715851809829473495e-03
-2.250000000000000000e+01 4.932838026434183121e-03 1.209994661621749401e-04 -3.127077128738164902e-03
-2.150000000000000000e+01 3.812780138105154037e-03 1.577990624355152249e-04 -2.685265382751822472e-03
-2.050000000000000000e+01 3.051009727641940117e-03 1.895632740342989564e-04 -2.339401515200734138e-03
-1.950000000000000000e+01 2.509771846234798431e-03 2.173434768337756395e-04 -2.059679012745618820e-03
-1.850000000000000000e+01 2.112184651196002960e-03 2.418721996946260333e-04 -1.827465835958719254e-03
-1.750000000000000000e+01 1.811807043850421906e-03 2.636804711073637009e-04 -1.630497979931533337e-03
-1.650000000000000000e+01 1.579861156642436981e-03 2.831651945598423481e-04 -1.460368046537041664e-03
-1.550000000000000000e+01 1.397477462887763977e-03 3.006306069437414408e-04 -1.311099156737327576e-03
-1.450000000000000000e+01 1.251896843314170837e-03 3.163144574500620365e-04 -1.178329344838857651e-03
-1.350000000000000000e+01 1.134138554334640503e-03 3.304057172499597073e-04 -1.058795140124857426e-03
-1.250000000000000000e+01 1.038130256347358227e-03 3.430566284805536270e-04 -9.499974548816680908e-04
-1.150000000000000000e+01 9.591499692760407925e-04 3.543908533174544573e-04 -8.499883697368204594e-04
-1.050000000000000000e+01 8.937996462918817997e-04 3.645100514404475689e-04 -7.572231115773320198e-04
-9.500000000000000000e+00 8.396268240176141262e-04 3.734980127774178982e-04 -6.704539409838616848e-04
-8.500000000000000000e+00 7.947407430037856102e-04 3.814240626525133848e-04 -5.886555300094187260e-04
-7.500000000000000000e+00 7.575228810310363770e-04 3.883457684423774481e-04 -5.109681515023112297e-04
-6.500000000000000000e+00 7.269410416483879089e-04 3.943103947676718235e-04 -4.366809152998030186e-04
-5.500000000000000000e+00 7.020580233074724674e-04 3.993572609033435583e-04 -3.651766746770590544e-04
-4.500000000000000000e+00 6.822153227403759956e-04 4.035179736092686653e-04 -2.959131379611790180e-04
-3.500000000000000000e+00 6.669695139862596989e-04 4.068177659064531326e-04 -2.284072397742420435e-04
-2.500000000000000000e+00 6.557863671332597733e-04 4.092762537766247988e-04 -1.622260169824585319e-04
-1.500000000000000000e+00 6.484902114607393742e-04 4.109074070584028959e-04 -9.697284258436411619e-05
-5.000000000000000000e-01 6.448759813793003559e-04 4.117208009120076895e-04 -3.226336048101074994e-05
5.000000000000000000e-01 6.448752828873693943e-04 4.117207136005163193e-04 3.226650369470007718e-05
1.500000000000000000e+00 6.484897457994520664e-04 4.109073779545724392e-04 9.697626956040039659e-05
2.500000000000000000e+00 6.557858432643115520e-04 4.092761082574725151e-04 1.622300187591463327e-04
3.500000000000000000e+00 6.669694557785987854e-04 4.068176203873008490e-04 2.284095098730176687e-04
4.500000000000000000e+00 6.822150899097323418e-04 4.035178280901163816e-04 2.959134581033140421e-04
5.500000000000000000e+00 7.020579650998115540e-04 3.993572026956826448e-04 3.651783918030560017e-04
6.500000000000000000e+00 7.269409252330660820e-04 3.943102492485195398e-04 4.366840585134923458e-04
7.500000000000000000e+00 7.575229392386972904e-04 3.883455065079033375e-04 5.109710036776959896e-04
8.500000000000000000e+00 7.947406265884637833e-04 3.814238589257001877e-04 5.886560538783669472e-04
9.500000000000000000e+00 8.396267658099532127e-04 3.734977217391133308e-04 6.704568513669073582e-04
1.050000000000000000e+01 8.937998209148645401e-04 3.645097604021430016e-04 7.572236936539411545e-04
1.150000000000000000e+01 9.591497946530580521e-04 3.543905331753194332e-04 8.499904070049524307e-04
1.250000000000000000e+01 1.038129557855427265e-03 3.430562792345881462e-04 9.500006563030183315e-04
1.350000000000000000e+01 1.134138903580605984e-03 3.304053680039942265e-04 1.058796187862753868e-03
1.450000000000000000e+01 1.251895213499665260e-03 3.163140791002660990e-04 1.178328762762248516e-03
1.550000000000000000e+01 1.397475600242614746e-03 3.006301994901150465e-04 1.311100670136511326e-03
1.650000000000000000e+01 1.579859177581965923e-03 2.831647871062159538e-04 1.460371888242661953e-03
1.750000000000000000e+01 1.811805064789950848e-03 2.636800054460763931e-04 1.630501239560544491e-03
1.850000000000000000e+01 2.112183021381497383e-03 2.418717631371691823e-04 1.827466185204684734e-03
1.950000000000000000e+01 2.509765559807419777e-03 2.173430257244035602e-04 2.059677150100469589e-03
2.050000000000000000e+01 3.051002044230699539e-03 1.895628374768421054e-04 2.339399419724941254e-03
2.150000000000000000e+01 3.812761744484305382e-03 1.577986404299736023e-04 2.685261890292167664e-03
2.250000000000000000e+01 4.932825453579425812e-03 1.209991460200399160e-04 3.127070842310786247e-03
2.350000000000000000e+01 6.675489712506532669e-03 7.757396087981760502e-05 3.715842030942440033e-03
2.450000000000000000e+01 9.605210274457931519e-03 2.616725760162808001e-05 4.433126654475927353e-03
