# z rho0(z) rho1(z)
0.5329316878 0.0 0.0
0.598795063401 0.0 0.0
0.664658439002 0.0 0.0
0.730521814603 0.0 0.0
0.796385190204 0.0 0.0
0.862248565804 0.0 0.0001
0.928111941405 0.0056 0.0033
0.993975317006 0.0524 0.0487
1.05983869261 0.0819 0.0791
1.12570206821 0.0643 0.0623
1.19156544381 0.0442 0.0433
1.25742881941 0.0292 0.0275
1.32329219501 0.0189 0.0197
1.38915557061 0.0146 0.0146
1.45501894621 0.0084 0.0093
1.52088232181 0.0099 0.0076
1.58674569741 0.0054 0.0072
1.65260907301 0.006 0.0064
1.71847244861 0.0067 0.0069
1.78433582422 0.0076 0.011
1.85019919982 0.0133 0.0164
1.91606257542 0.0224 0.0214
1.98192595102 0.0288 0.0294
2.04778932662 0.0394 0.0386
2.11365270222 0.0394 0.043
2.17951607782 0.041 0.0449
2.24537945342 0.0374 0.0403
2.31124282902 0.0289 0.0296
2.37710620462 0.0221 0.0224
2.44296958022 0.0156 0.0147
2.50883295582 0.0109 0.0109
2.57469633143 0.0079 0.0074
2.64055970703 0.0065 0.0061
2.70642308263 0.0081 0.0061
2.77228645823 0.0096 0.0072
2.83814983383 0.0088 0.0093
2.90401320943 0.0133 0.0141
2.96987658503 0.0196 0.0216
3.03573996063 0.0284 0.0285
3.10160333623 0.0385 0.0435
3.16746671183 0.0618 0.0603
3.23333008743 0.0836 0.0826
3.29919346303 0.054 0.0487
3.36505683863 0.0056 0.006
3.43092021424 0.0 0.0
3.49678358984 0.0 0.0
3.56264696544 0.0 0.0
3.62851034104 0.0 0.0
3.69437371664 0.0 0.0
3.76023709224 0.0 0.0
