# r rdf(r)
0.920500 0.1279946125
0.961500 1.1641077
1.002500 2.840910925
1.043500 3.7866647625
1.084500 3.552723075
1.125500 2.8821820125
1.166500 2.233213675
1.207500 1.766793775
1.248500 1.4336302
1.289500 1.1852908375
1.330500 0.9882939875
1.371500 0.8939265125
1.412500 0.798718925
1.453500 0.717235275
1.494500 0.6792863375
1.535500 0.6541130375
1.576500 0.6148532125
1.617500 0.5956091125
1.658500 0.60175925
1.699500 0.6195178875
1.740500 0.6483026125
1.781500 0.661678325
1.822500 0.7089552375
1.863500 0.745377775
1.904500 0.7994512375
1.945500 0.8603920875
1.986500 0.9444604625
2.027500 0.984091
2.068500 1.0411690625
2.109500 1.0714752
2.150500 1.0854123375
2.191500 1.1170769875
2.232500 1.133729375
2.273500 1.131080475
2.314500 1.13305805
2.355500 1.1384938
2.396500 1.1117184
2.437500 1.091810675
2.478500 1.070510875
2.519500 1.0645677625
2.560500 1.0381887875
2.601500 1.0345531375
2.642500 1.0212661125
2.683500 1.0143627125
2.724500 0.9947852125
2.765500 1.0070487
2.806500 1.0049753625
2.847500 0.9987243125
2.888500 1.00449815
2.929500 0.9863753875
2.970500 0.975991775
3.011500 0.987248
3.052500 0.9880454125
3.093500 0.9867101625
3.134500 0.9906589125
3.175500 0.9868200625
3.216500 0.967158425
3.257500 0.9784708625
3.298500 0.982967425
3.339500 0.9671518875
3.380500 0.9573698375
3.421500 0.9322605125
3.462500 0.9124548375
3.503500 0.876896575
3.544500 0.841248275
3.585500 0.818224975
3.626500 0.7948019
3.667500 0.7653923625
3.708500 0.7258345875
3.749500 0.7082673875
3.790500 0.685791725
3.831500 0.654448525
3.872500 0.6305206625
3.913500 0.5912702375
3.954500 0.5757490625
3.995500 0.55719895
4.036500 0.52635925
4.077500 0.492085875
4.118500 0.47480725
4.159500 0.4394880625
4.200500 0.4233114875
4.241500 0.392262975
4.282500 0.374464125
4.323500 0.338244325
4.364500 0.3304031625
4.405500 0.297991575
4.446500 0.2762254
4.487500 0.253097425
4.528500 0.2324795
4.569500 0.2164920375
4.610500 0.1955084125
4.651500 0.1719645625
4.692500 0.1550106875
4.733500 0.14259755
4.774500 0.1226743375
4.815500 0.10669975
4.856500 0.0916258625
4.897500 0.0849336375
4.938500 0.0742394875
4.979500 0.0638327375
