# r rdf(r)
0.920500 0.045866625
0.961500 0.4512174625
1.002500 1.3779799
1.043500 2.1843708
1.084500 2.3208558625
1.125500 2.0607745625
1.166500 1.8185014875
1.207500 1.5460649
1.248500 1.41212035
1.289500 1.259868475
1.330500 1.108042025
1.371500 0.982177575
1.412500 0.944173075
1.453500 0.8708110875
1.494500 0.8671946125
1.535500 0.805569525
1.576500 0.760566775
1.617500 0.787866825
1.658500 0.7635269375
1.699500 0.7715418125
1.740500 0.8258642875
1.781500 0.87320145
1.822500 0.8815550875
1.863500 0.9416889125
1.904500 0.965521125
1.945500 1.0156251375
1.986500 1.0686928375
2.027500 1.10754075
2.068500 1.1491612125
2.109500 1.1547140375
2.150500 1.124552625
2.191500 1.0871860625
2.232500 1.088694325
2.273500 1.0901398
2.314500 1.0629861375
2.355500 1.0055213625
2.396500 0.9955497375
2.437500 0.9924344
2.478500 0.9609271
2.519500 0.960523725
2.560500 0.9738819625
2.601500 0.9462991375
2.642500 0.9531589125
2.683500 0.9472861625
2.724500 0.953725375
2.765500 0.982239575
2.806500 0.9933943625
2.847500 0.994395775
2.888500 1.0036368375
2.929500 1.0263169625
2.970500 1.012571475
3.011500 1.0301904
3.052500 1.0351015125
3.093500 1.0167819375
3.134500 1.0342699875
3.175500 1.0449969
3.216500 1.009008525
3.257500 1.01343985
3.298500 1.0088854125
3.339500 1.01551705
3.380500 1.00395865
3.421500 0.9555824875
3.462500 0.933410625
3.503500 0.896069725
3.544500 0.8499869875
3.585500 0.81796045
3.626500 0.7749405875
3.667500 0.7460554375
3.708500 0.72428055
3.749500 0.6883446
3.790500 0.672993175
3.831500 0.6510771375
3.872500 0.61213525
3.913500 0.5955695125
3.954500 0.56969615
3.995500 0.5404523375
4.036500 0.5241218125
4.077500 0.487216375
4.118500 0.4709949625
4.159500 0.4546410375
4.200500 0.4269372375
4.241500 0.39085175
4.282500 0.36461135
4.323500 0.3453910875
4.364500 0.3226761625
4.405500 0.3035469625
4.446500 0.2782497375
4.487500 0.257875575
4.528500 0.2399594
4.569500 0.22071815
4.610500 0.1993165875
4.651500 0.1761167875
4.692500 0.157341925
4.733500 0.13710665
4.774500 0.124474125
4.815500 0.10761315
4.856500 0.094707025
4.897500 0.0847551375
4.938500 0.073844225
4.979500 0.06563125
