{tclvariable 
	{energy {-2471.42140171}}
	{pressure {1.17600628074}}
}
{variable  {box_l 15.874009 15.874009 15.874009} }
{particles {id pos quat f} 
	{0 10.727875 3.364905 2.003197 0.667018001663 0.259185000646 0.252992000631 0.651080001623 1.41889282621 -15.1761292746 -4.52194912763}
	{1 3.239961 10.226211 15.358396 0.660437433093 0.286357187783 0.276129181076 0.636847417623 -0.644378409006 12.8744536538 -6.34066685664}
	{2 4.457482 0.964092 7.347083 0.455326857541 -0.580266818451 0.109174965842 -0.666369791512 2.20855017112 1.31964582433 -1.33394373406}
	{3 1.287157 11.078679 9.763401 0.858264228941 -0.395494105498 -0.223143059523 -0.239111063783 8.97274796858 18.3414830803 -24.67069829}
	{4 10.07777 2.742197 5.67205 0.758014923579 -0.339812965741 -0.531219946444 0.166570983207 -4.75129901331 6.87273916879 -11.3319586106}
	{5 0.831877 4.227896 10.037091 0.778916069002 0.546204048387 0.176917015673 0.25229202235 -3.95858478192 0.467325672955 5.52536889888}
	{6 10.189298 2.709194 15.662648 0.794968004186 -0.312827001647 -0.0667210003513 -0.515474002714 9.22167009019 -1.40865619189 -7.50504655528}
	{7 7.852637 3.373881 4.124891 0.890452168313 0.392266074146 0.0930040175796 0.211122039906 -1.26838284569 -27.1591463478 -21.8920236461}
	{8 3.968865 3.188959 14.865191 0.474482925972 -0.67344589493 0.0579869909529 -0.563891912022 -11.3142625967 34.6639656519 15.6053633384}
	{9 3.999786 12.968784 1.40904 0.914637497652 -0.251984137104 -0.304236165534 0.08592204675 -2.89930495495 -13.3977154112 -2.5695112597}
	{10 3.67309 1.632901 1.236683 0.722326054986 -0.574838043759 -0.232703017714 -0.306032023296 -4.04103933636 9.62705761453 -25.3278174288}
	{11 8.323024 6.20663 13.527784 0.650185064255 0.49107504853 -0.34941003453 -0.462620045718 -12.9619416458 4.8808650545 -14.6377561263}
	{12 6.849575 3.045173 8.280477 0.54644771255 -0.212201888375 0.04111897837 -0.809119574375 9.12175091942 -10.4819347456 -4.29061291968}
	{13 2.096093 0.93137 10.93822 0.57629918136 -0.508766160107 0.026257008263 -0.639020201098 -12.0532769685 0.275635471712 4.7015634581}
	{14 0.149416 10.195708 12.59331 0.328203085284 -0.641591166718 0.215028055875 -0.659095171266 2.44161518018 -5.53101349206 8.14862969105}
	{15 4.316525 14.748544 3.539914 0.547274806507 -0.540682808837 0.0411909854366 -0.637538774593 1.85046305921 31.3208738694 -28.7326631105}
	{16 9.385736 7.885645 0.002228 0.79606712573 0.25142703971 -0.165798026186 -0.52495008291 -24.2764863039 42.997873312 -20.1060643873}
