-5.0 0.0	0.0 0.0	7.0 0.0
-4.99668 -0.713	-0.01829 -0.487	6.94144 -0.271
-4.98734 -6.788	-0.02043 -6.451	6.96641 -5.903
-4.96921 -12.86	-0.02558 -10.758	6.8727 -11.347
-4.90709 -19.304	-0.03301 -20.568	6.77196 -16.189
-4.82728 -26.884	-0.02689 -27.026	6.67141 -23.141
-4.6861 -32.553	-0.0403 -31.814	6.51147 -29.351
-4.54493 -38.222	-0.04236 -39.709	6.24687 -35.582
-4.36852 -44.644	-0.00852 -46.52	5.99622 -41.659
-4.17456 -50.682	0.01422 -52.975	5.7281 -47.588
-3.95402 -58.994	0.07287 -58.586	5.41122 -54.431
-3.71617 -64.265	0.104 -66.752	5.07323 -59.32
-3.52218 -70.683	0.23208 -73.373	4.71101 -66.322
-3.2843 -76.334	0.30747 -80.764	4.33477 -72.574
-3.08145 -83.51	0.43989 -86.815	3.98316 -81.233
-2.95778 -89.942	0.57249 -94.954	3.63823 -86.424
-2.8606 -95.239	0.74897 -102.135	3.26553 -93.278
-2.78066 -104.338	0.91214 -107.99	2.94153 -98.616
-2.77128 -110.792	1.11486 -113.647	2.61085 -107.119
-2.73554 -117.241	1.33543 -122.339	2.29731 -112.304
-2.72613 -124.075	1.58657 -128.746	1.98406 -120.654
-2.72545 -131.67	1.82438 -133.637	1.73691 -127.032
-2.76869 -139.654	2.11099 -143.455	1.4199 -132.368
-2.80344 -144.218	2.42352 -148.141	1.17984 -139.95
-2.85537 -153.342	2.73175 -153.968	0.92575 -146.63
-2.97797 -158.682	3.06642 -160.549	0.71708 -154.055
-3.09168 -165.16	3.40558 -168.078	0.57461 -160.413
-3.24062 -170.886	3.8016 -172.559	0.40082 -167.68
-3.4247 -176.997	4.18904 -179.319	0.25487 -174.189
-3.55606 -182.719	4.58096 -187.028	0.14042 -181.897
-3.79271 -190.74	4.98141 -191.888	0.06416 -187.338
-3.96795 -197.23	5.31609 -198.469	0.05085 -194.574
-4.11683 -203.715	5.66836 -205.236	0.04098 -201.207
-4.20433 -208.289	5.9678 -211.064	0.12173 -206.768
-4.27395 -216.277	6.24972 -217.655	0.18532 -215.497
-4.2736 -220.075	6.54027 -222.346	0.28694 -220.45
-4.27296 -227.29	6.76055 -227.81	0.40972 -227.811
-4.25479 -233.743	6.90168 -232.909	0.48357 -234.277
-4.17502 -240.943	7.04732 -239.337	0.63075 -241.483
-4.10424 -245.866	7.19739 -246.144	0.75692 -247.788
-3.95417 -252.673	7.24187 -252.021	0.88652 -253.49
-3.74263 -258.708	7.26443 -258.473	0.99859 -258.14
-3.56612 -266.269	7.19456 -263.613	1.00915 -259.193
-3.38095 -272.309	7.11152 -268.946	1.13539 -266.252
-3.14307 -277.959	6.98464 -275.616	1.19164 -271.064
-2.83482 -283.976	6.76989 -282.684	1.30061 -280.085
-2.55295 -289.997	6.54177 -287.855	1.33956 -286.407
-2.22712 -296.01	6.20834 -295.135	1.44128 -292.416
-1.93656 -300.891	5.84403 -301.092	1.45917 -297.386
-1.65444 -309.571	5.52372 -307.61	1.53676 -306.564
-1.43408 -315.984	5.20323 -312.039	1.58247 -310.473
-1.24005 -322.782	4.86109 -320.27	1.64259 -319.504
-1.09891 -328.071	4.56718 -326.973	1.69221 -328.085
-1.00155 -335.268	4.21171 -333.498	1.7311 -333.804
-0.94812 -342.853	3.84755 -341.164	1.84686 -340.715
-0.92989 -350.065	3.5536 -347.487	1.9244 -349.441
-0.97323 -356.909	3.22455 -354.576	2.08887 -354.834
-0.99016 -364.127	2.93498 -360.708	2.20809 -361.442
-1.09512 -370.224	2.64551 -367.98	2.43208 -369.236
-1.12963 -377.446	2.37366 -375.628	2.63853 -375.978
-1.20821 -383.538	2.12367 -381.942	2.90775 -382.255
-1.2691 -390.765	1.91341 -390.148	3.20145 -389.281
-1.3123 -399.128	1.80408 -396.435	3.57531 -395.237
-1.3381 -405.589	1.75649 -404.989	3.92491 -403.157
-1.27601 -411.653	1.84504 -411.997	4.41045 -409.543
-1.10832 -418.836	2.05227 -418.983	4.89598 -415.779
-0.84379 -427.519	2.45288 -425.551	5.39202 -422.615
-0.42119 -434.273	2.92399 -434.004	5.94386 -429.14
0.04537 -441.018	3.48293 -441.491	6.49245 -438.227
0.55576 -446.236	4.20446 -448.377	7.03008 -441.89
1.08382 -452.59	4.82041 -454.334	7.54701 -448.27
1.61196 -459.703	5.40148 -463.525	8.05703 -455.255
2.14878 -465.675	5.82411 -470.469	8.55671 -463.748
2.65038 -470.894	6.19403 -477.992	8.93058 -469.855
3.10828 -479.16	6.44075 -484.211	9.23483 -477.783
3.55709 -484.01	6.5294 -492.358	9.42714 -482.418
3.94463 -491.91	6.4949 -499.77	9.47669 -490.245
4.34086 -498.669	6.39002 -506.626	9.46054 -504.566
4.63156 -505.068	6.22348 -512.165	9.37751 -512.419
4.93971 -509.946	6.00879 -519.992	9.31517 -517.555
5.13387 -518.263	5.81163 -527.245	9.15885 -525.12
5.31914 -525.442	5.5661 -534.319	9.06867 -531.016
5.48672 -531.486	5.32066 -542.341	8.95083 -539.78
5.60312 -537.658	5.02225 -547.906	8.85011 -544.923
5.6895 -543.622	4.77684 -556.308	8.68331 -552.34
5.7635 -550.485	4.52669 -560.914	8.55833 -559.297
5.83875 -555.794	4.28115 -567.797	8.46127 -566.248
5.85595 -562.25	4.03131 -575.82	8.3676 -572.144
5.90105 -571.093	3.73739 -582.523	8.27406 -579.547
5.89598 -576.357	3.52696 -588.83	8.16984 -584.541
5.89652 -582.338	3.33401 -593.994	8.09043 -593.749
5.89717 -589.514	3.1367 -599.539	8.03155 -598.583
5.88109 -595.498	2.92653 -608.694	7.95536 -604.928
5.89271 -601.477	2.73357 -613.858	7.89312 -611.119
5.86555 -607.463	2.58029 -620.154	7.84145 -618.514
5.8384 -613.449	2.42707 -627.209	7.79681 -626.51
5.83336 -618.953	2.26923 -631.797	7.79035 -632.238
5.80075 -625.897	2.12917 -638.47	7.75944 -637.669
5.77909 -631.403	2.02867 -645.135	7.77052 -644.449
5.7353 -637.153	1.84456 -650.867	7.77796 -649.572
5.69149 -642.664	1.77029 -656.008	7.77162 -656.656
5.66458 -651.282	1.61702 -662.494	7.80708 -662.979
5.67063 -657.022	1.49023 -670.114	7.80755 -668.254
5.61581 -663.253	1.35904 -677.734	7.83945 -673.824
5.59983 -670.314	1.30229 -682.113	7.87851 -681.352
5.54213 -675.349	1.21042 -687.067	7.93472 -685.711
5.50668 -681.456	1.08801 -694.496	7.99107 -691.578
5.47959 -688.16	0.97429 -700.785	8.051 -698.348
5.44966 -694.027	0.90881 -705.924	8.06904 -704.976
5.40864 -699.777	0.7995 -712.401	8.15679 -710.837
5.37055 -707.32	0.70767 -717.736	8.22705 -716.248
5.31297 -713.671	0.64245 -725.723	8.31842 -723.465
5.30231 -718.338	0.50232 -731.637	8.38871 -729.178
5.31399 -725.034	0.41486 -736.78	8.48694 -735.187
5.27302 -731.382	0.35396 -743.818	8.58866 -741.196
5.23482 -737.609	0.20513 -750.872	8.68342 -747.357
5.21315 -742.996	0.15274 -754.87	8.80963 -754.114
5.14998 -748.87	0.02588 -761.73	8.9148 -759.67
5.15612 -755.448	-0.03085 -766.298	9.02002 -765.828
5.11519 -762.274	-0.12256 -772.962	9.11844 -773.948
5.11009 -767.179	-0.30214 -780.212	9.24798 -778.896
5.09677 -772.923	-0.37187 -786.871	9.36707 -784.148
