{interactions 
	{0 2 lennard-jones 12.0 3.0 3.36739 0.032899 0.0 0.0 }
	{2 2 lennard-jones 1.0 1.0 1.12246 1.0 0.0 0.0 }
}
{particles {id type q pos v f} 
	{0 0 0.0 15.0 15.0 15.0 -1.29124e-05 -0.000149032 1.15872e-05 0.0280517 -0.0289689 -0.0125631}
	{1 2 0.0 16.8834 12.97 15.3897 0.0227079 0.0023781 -0.028735 -2.50534 0.763974 -0.550915}
	{2 2 0.0 17.6024 15.883 15.5174 0.00680774 -0.00976977 0.0346023 -2.5802 0.541099 -0.471238}
	{3 2 0.0 16.8008 15.6127 12.9358 -0.0609463 0.00320492 0.0162489 0.243103 0.0555094 0.225834}
	{4 2 0.0 17.433 13.8138 15.6853 0.0462615 -0.024768 -0.0337406 -1.93351 1.02643 0.397089}
	{5 2 0.0 16.6872 17.0303 14.1144 0.00156858 -0.0169786 -0.0453631 -1.36374 -0.471289 0.830711}
	{6 2 0.0 13.6277 16.1433 17.1654 0.0560309 -0.0235391 -0.0174096 -0.190322 0.174334 -0.212398}
	{7 2 0.0 13.4509 12.6805 15.4789 -0.0211799 0.0441404 0.0323589 0.985103 1.06746 0.142107}
	{8 2 0.0 15.323 12.2955 14.2315 0.0399001 0.0329359 -0.0280131 -0.376329 1.40403 0.00107826}
	{9 2 0.0 14.9958 17.7167 14.207 -0.0256387 -0.0321841 -0.0418164 0.358496 -1.40851 0.124982}
	{10 2 0.0 16.023 14.0601 12.4817 -0.0319519 -0.0294212 0.0336919 -0.229858 -0.445051 1.39304}
	{11 2 0.0 16.8179 13.1057 13.9062 -0.0709699 0.0746222 0.058665 -0.91302 -1.32745 -1.04782}
	{12 2 0.0 14.4232 16.8704 17.0003 -0.00309634 0.0241002 0.0534913 -0.365763 -0.643434 -2.5133}
	{13 2 0.0 17.411 15.079 13.5861 -0.0449315 0.0230263 0.034028 1.12434 0.514935 -0.242499}
	{14 2 0.0 15.3816 16.5065 17.3532 0.00332518 0.0656907 0.0533053 -0.233511 -1.40418 -1.95336}
	{15 2 0.0 13.7507 16.9161 13.3096 0.0425039 -0.0757352 0.0806225 1.24844 1.34128 -0.581029}
	{16 2 0.0 15.4152 16.7587 12.835 0.0286247 0.0653213 -0.0457542 -0.486887 -1.56213 1.77262}
