{tclvariable 
	{energy {169.348012591}}
	{pressure {1.99085047567}}
}
{variable  {box_l 5.78072780098 5.78072780098 5.78072780098} }
{particles {id type pos f} 
	{0 0 129.564447133 -28.0231800888 59.0610714642 26.7498730444 9.14912620675 -50.4648424839}
	{1 0 -8.48791771334 -34.8359751322 -35.9994928509 15.7041170363 -0.298557193084 -19.652623062}
	{2 0 179.024274168 81.0942465849 16.9814099635 -18.5665527287 13.8692870136 -28.9053037831}
	{3 0 -3.5234945812 -49.5461003321 151.432283961 -9.45199205531 4.83210504375 -2.08059398028}
	{4 0 120.819399342 -105.84663081 -61.7749284436 -16.3796163234 -16.6836927885 -6.33610413601}
	{5 0 60.9246163546 -29.2058916559 17.7404342598 -2.28277146489 -13.0652726179 -17.2097164748}
	{6 0 5.03818873976 -3.52627471063 14.6461280187 -7.84475269634 34.6441802734 -3.89175703328}
	{7 0 106.033659033 -22.7370874035 65.5539437231 1.11976427492 -16.8177951832 26.2141657314}
	{8 0 70.7996281224 -121.833458619 38.4254904748 20.3053792068 7.46468089412 -10.6544140429}
	{9 0 98.2264878079 13.6134778133 144.301288321 -16.3131786516 -11.4053886435 9.53446973615}
	{10 0 24.9083844308 48.9971590946 -18.6953981164 -31.8986174536 12.4045234093 -12.1116912827}
	{11 0 45.6445419309 30.8486196494 7.89207267485 19.1839610275 -54.9778147778 -7.79793218474}
	{12 0 51.6346782064 -50.2451220235 -30.8137191396 -6.39918682292 -33.160249835 32.4168631913}
	{13 0 90.9750902689 -139.997259611 71.8188363086 -3.28985629596 3.81282068443 0.606958138004}
	{14 0 18.7059206737 32.6932195693 85.1748656631 -9.10395973277 -18.8143521625 -18.96077089}
	{15 0 12.3829843411 -93.9369808825 128.855273421 36.7364422578 -25.4826376981 -30.139988115}
	{16 0 87.6101678582 -44.0799009173 -60.1911130316 23.8793033283 -1.82270738816 -24.1038544541}
	{17 0 78.0716891384 31.7079800367 46.1927009999 -20.8516936419 24.4174267312 -4.1834298592}
	{18 0 111.749037661 -174.994056578 72.3071269443 21.4334627037 -11.6085975051 -20.8225121674}
	{19 0 82.7546085098 -106.859039594 8.95718902023 -0.492815371947 13.0321915515 12.1086871235}
	{20 0 60.6187511295 50.9355752071 27.0438558266 -19.7123712359 -23.3937562652 -17.7006904251}
	{21 0 103.708545721 -19.6306545163 10.8724187185 6.18933232939 41.0273810587 23.6336082117}
	{22 0 -1.72374132761 10.7326643387 90.5954864952 -6.46463255663 -19.474912095 -16.9331677843}
	{23 0 65.6070788744 -79.5363672206 177.712481395 15.1823469643 8.38179908006 17.1190137255}
	{24 0 104.900966889 9.20443517568 12.6277781079 5.19332286225 -21.0302963182 -19.7727053622}
	{25 0 -5.02239611184 -110.228744612 53.5622528069 -28.4485223251 -20.1905933229 5.51444584192}
	{26 0 17.9943985196 92.3162484362 79.5542382645 -26.7958302114 -0.287550101547 -14.6070051282}
	{27 0 -24.1905915423 -15.3775626769 74.7699328838 28.1497952617 -9.20022798849 7.12531995717}
	{28 0 211.501691585 -65.211116096 -45.6223791185 11.8600910737 0.874619997296 -28.6207333419}
	{29 0 67.2016418398 -106.915107145 -151.34505168 8.36363298202 4.10391182592 14.441282219}
	{30 0 131.674114929 -161.912083166 19.9027323685 6.9514729069 -29.1729989491 37.6321648107}
	{31 0 -25.6927323595 -36.8526750638 25.2647739037 -12.9742652694 9.91898649793 -6.14983446691}
	{32 0 120.8151314 -65.7636974897 -54.2933047142 13.0214867624 14.6501493676 -15.1737716189}
	{33 0 10.8440977264 -145.589578208 3.04755838812 24.6959499343 -6.0125366013 3.76244584998}
	{34 0 38.0559772953 -98.0965102979 49.2013342602 -13.2577151119 6.61023258039 -11.521497749}
	{35 0 11.5709469094 -64.6660833926 111.993103048 22.9184869247 16.397579379 23.5863951318}
	{36 0 -22.4431419463 -58.4624858102 40.4860669345 -22.5807969651 0.685955047758 -6.00873344892}
	{37 0 57.649572646 -80.5712202215 -20.6726681787 -12.9562856992 10.673880661 5.21127868889}
	{38 0 59.9659298584 -4.33635664581 -2.74925992028 -0.62768338952 -0.484123208964 10.4962705894}
	{39 0 153.466212754 -120.937529279 -0.393228058233 -20.9487343323 11.7126138328 16.003423697}
	{40 0 -3.00753599904 62.6228078905 -96.8802760577 20.707088635 -24.787878009 22.9278419264}
	{41 0 -15.2910147251 -11.4342665474 3.02428211283 2.30781582654 -17.3319514377 5.09195363824}
	{42 0 60.6866451807 -140.773901266 -83.3935120805 -22.6177542934 11.8042574593 4.46034444841}
	{43 0 191.631294022 64.1241963697 59.1218873564 -14.2895861628 16.2746541862 -6.25782528249}
	{44 0 -75.8701987407 -80.2395648506 58.1608982975 -22.9214243988 18.8944974755 30.028941386}
	{45 0 -47.0750552685 -36.1634529826 -150.249606201 2.13655289816 7.4504182905 4.09904723848}
	{46 0 60.8466515525 -131.179121759 -13.6886697119 5.56367732643 5.70134994539 2.74713389901}
	{47 0 128.215670478 -73.6668982828 24.716462021 7.76429040874 31.0121141103 -6.56913264335}
	{48 0 154.428217884 -67.5928639571 61.6232521803 5.07861482242 -17.9592767365 -3.25838545808}
	{49 0 96.0909323451 -36.2674604408 -24.20232011 8.1600051579 -4.70013948709 -23.5388913148}
	{50 0 70.6373988355 -68.5594939954 -60.3771965247 4.60294505188 20.8565825955 -8.42890750054}
	{51 0 18.9120605773 -63.8862308869 10.8478433453 22.6965776248 16.9611339944 -0.831522853604}
	{52 0 -112.962050784 -101.826189713 45.1200743367 30.6875847395 2.6555430642 17.3212090568}
	{53 0 -23.9989957018 115.28276442 76.6612082782 21.2288997545 -3.58867233592 5.09342811685}
	{54 0 -59.2268377082 -118.813263118 -20.9032604054 0.57307456616 22.344181812 21.485263469}
	{55 0 127.473740712 -84.629715631 -80.0385655876 16.114387161 -6.92637633586 -9.81619769668}
	{56 0 101.730925641 -8.73177148419 -62.6441977785 -17.0452351833 16.9328143734 -11.7516141159}
	{57 0 143.376996847 -68.7691787082 38.2694877089 -3.98426106607 6.14200205082 -9.39016534797}
	{58 0 85.1827857253 -59.490524247 -21.8679777446 -17.0365761219 16.9377031229 -20.3239149645}
	{59 0 40.1164246949 -101.238305512 65.283713439 -23.765702525 5.17344575846 -33.6203188467}
	{60 0 116.242325833 -43.0742454872 -2.65720279425 16.6715595726 2.39187167795 9.32999276613}
	{61 0 89.7573023228 -27.7689164641 152.861699617 12.542452523 -2.29604260298 -21.3368653852}
	{62 0 -53.9134747973 -124.742414309 17.3277995619 -18.0235457771 8.7044886559 27.2200565034}
	{63 0 40.0455426298 28.7183835873 9.75880676817 -22.3862474076 -24.0449675198 12.4169515539}
	{64 0 29.4284222331 76.4302340862 -110.451635101 15.1864303018 -20.4772236132 -0.295473794561}
	{65 0 26.5341838 -62.3787416521 45.1271250397 12.7667709895 23.8990355821 -10.8050689281}
	{66 0 -67.1670907763 -115.044575786 16.4583944454 -14.9259222985 -2.96312718284 25.5170913719}
	{67 0 18.8780322438 115.034425642 19.5658633546 -13.6235838099 -12.3998096545 -15.6534975829}
	{68 0 -65.4387098479 -12.1127752078 13.3097607975 -10.2404847169 12.346322205 0.680450814077}
	{69 0 34.5138923808 106.654764085 -41.5846663077 -37.1972302611 -32.637207048 7.51242800932}
	{70 0 -0.0306306195927 15.5396545884 -16.4313000487 -17.8361739262 -18.1978113338 -9.73656328374}
	{71 0 190.230663926 12.3561757422 -139.914663615 -22.6599947591 21.9919531488 9.95811827459}
	{72 0 -10.9028550756 31.7297553602 -7.38791428195 -1.62714848536 18.2650619088 -31.8757342515}
	{73 0 115.29681877 -66.5008871977 46.6624870022 -11.7303914307 16.7388973099 -10.994871011}
	{74 0 177.716629151 -31.3315020146 11.7584383437 28.7493730609 27.5300412811 18.3627262683}
	{75 0 50.1253160972 74.4945645404 -6.49823738595 9.98254680998 4.00188341911 9.17829230335}
	{76 0 82.7661576337 -65.8190158991 41.753140395 39.7746611245 20.6651945692 6.29813821955}
	{77 0 34.9043253442 18.3439842621 69.9625221432 35.3213895731 12.2946106306 -9.25395869786}
	{78 0 -126.535321672 -153.231303098 1.91742848441 10.1018158644 -26.1981948014 -13.4096415459}
	{79 0 83.4490754412 -50.3507870793 -5.56154885975 -21.0911054788 8.49487519754 3.55730348138}
	{80 0 50.2472608823 -54.6939061454 15.2610840692 5.41693204156 -49.1778243942 2.89710560311}
	{81 0 -12.7363517307 -56.620997349 192.166091221 30.5618246757 -46.6211278651 69.0634277191}
	{82 0 104.613990282 99.4979176084 -100.179116706 -7.94273891999 -10.0852191316 4.78934285817}
	{83 0 15.4297498504 -94.2383168501 -25.5313518674 17.495117672 33.6383564003 -2.00453620415}
	{84 0 9.67909427918 -97.6811083832 -9.43386912791 -33.4059787139 9.75418295022 -0.613019079492}
	{85 0 -78.8180464573 -117.422656143 -0.741512959114 -8.70676711736 -8.00765197853 -9.64558648826}
	{86 0 -10.1242397736 -68.7177906285 29.2139640424 -7.71346998702 22.8049149894 -15.7382304337}
	{87 0 28.9058286706 -209.507283254 96.4036236964 20.7488960748 -15.7798826304 18.1345742026}
	{88 0 42.1340741061 -101.597262124 155.902508085 -3.13831846173 -17.4417791852 -12.4410455534}
	{89 0 59.4649574406 -47.5297620894 -150.035125366 6.99654458109 18.3074626052 10.9118792086}
	{90 0 -102.218403658 -40.8060544747 64.656888323 7.77982785108 5.88263006711 -11.0152006218}
	{91 0 -140.146861877 -15.5640949616 46.9559772139 -27.1807338121 36.9999111914 -60.3651114474}
	{92 0 77.8037347938 -64.3160000746 66.1881122687 5.51650742571 -19.7608373981 -0.781848940276}
	{93 0 -40.4676827638 -0.22314285015 133.760641277 -23.7965162318 2.37752699632 8.23673493248}
	{94 0 30.8959199466 -15.3963816327 117.606169365 16.5521982001 -5.53120206965 27.485474924}
	{95 0 -12.7949430865 -64.1337427444 11.7057330923 -8.13091154765 26.4107965288 -13.8869197351}
	{96 0 73.626677542 17.9560723548 16.9816801792 3.24688101004 3.54759102539 3.41305314991}
	{97 0 101.557757641 -15.4333855296 30.7447036845 -1.94199254816 1.64306069284 5.8705461979}
	{98 0 18.0997361862 21.8091938899 -1.04018823493 -20.091716302 -14.746350167 -1.31344184518}
